md5,sha256,title,subtitle,genre,artist,subartist,level,difficulty,charthash
6d5386105222ccf38ed113bebc625727,cf8932cc0d8cb08bf797296f4e47633c023b9461517f080e05b06f392945e05d,adolescent person -SP NORMAL-,,TECHNO POP,Is-m,BGA:yuru,4,2,6c44a12d4bb76a534fcd4476e70733243bec6a01fe07236706bdefa8d023157a
4c7af4465fc065458dfa342f7ef73b38,d5d78fe9aedd19381564691b9f92d2cf463f02bdd79094b1610fc97795f2c0d0,adolescent person -SP HYPER-,,TECHNO POP,Is-m,BGA:yuru,8,3,33ab4560bd6f16f72fceed59724d8b442a94b1b2d73ef250bfc6a5252171dd41
c5a7a57b330e7ee22278f51ff675ead9,4dac46b8d8c79ef0487beb3bc120bc345026c6ee87d5fd06e94d047150f69f4b,adolescent person -SP ANOTHER-,,TECHNO POP,Is-m,BGA:yuru,11,4,248479c6d177d3655c591e8b415d15d2e55e415e39d951cbf4bca76c5a0b97d3
be5a994241230cc2c991a6db8cc80290,9944aa6b1bd454f39f78720d151b4e16633a71aca2c58f7f3d49ab3ab722e415,adolescent person [depressive],,TECHNO POP,Is-m / obj. laner,BGA:yuru,1,5,57a5591b619b8f76624d8dbd9d60810b92ec59e710d607fbb81021a3d2e5334a
2cc3217f9be0e6058a1fe2244d391820,a136e93d918cd1b81f6ef238fcb84571de9cc54194dc06435223b377ad3719a6,adolescent person -DP NORMAL-,,TECHNO POP,Is-m,BGA:yuru,4,2,28130a6a9d9f5787da9b9a4be379356772364d1be9676d049962854529f4d9d8
9b208eea8cece06263fa54cef05b9945,3cf0cb66bb11a1fe8396c845aca29789013f21bd3a736da792222adac27868db,adolescent person -DP HYPER-,,TECHNO POP,Is-m,BGA:yuru,9,3,1990da252903a94aa7f473c60b121abd2af994e397a468e284e0fa4db358b720
493e7e328919e1bd6db73ec9b7f6294b,e14e6151c1dabe1a38d33a2373c9c269ce529de0eb33bed6ff8e2e7a3f5465de,adolescent person -DP ANOTHER-,,TECHNO POP,Is-m,BGA:yuru,12,4,e0961611c2f4e44cae30f2686af92b2456a921a81111318a4e1525c3a5fe7394
19972aca3085ae262e06bfb7125848d0,4cc6ac50c00086717dcf2dfc66c92cfd2b77ddee252ecf5778d0daabc90396bb,After The Rain,,UK HARDCORE,ikaruga_nex,,10,4,2c83a1ca0dce7b12e51a725720c608fcf49ab8dad752ca3bb25bcc176b9f6688
2cd6dddef9e7af6b56376740438dc5c1,1bbd7508c8aea9e3efb60aa10770fcde94bc6cdf7af1a778991977ab3715cfb8,After The Rain,,UK HARDCORE,ikaruga_nex,,8,3,6e70777d36bb01396f7b371ad8483792cd6b8ebecd30154d05102f86e018694b
93e5f0b1ef845bcc3456b0b409860845,4c0cdffb401edbee40e9108b84315ea76cbd9cf580bed00b74649a62a2cc6f01,After The Rain,[MANIAC],UK HARDCORE,ikaruga_nex,obj.quad,10,5,b99ecd2c65ca93e9fd517b5aafe3ad272777bb5a6f8abd27eef7f4f4089f41e7
4a6a6d7ae49bed623b726e5626d42c71,d6af6a3678b84f15e6f38305003637576ab1216147dc0e9c46b09fb797d09957,After The Rain,,UK HARDCORE,ikaruga_nex,,6,2,bcbbb941dc3c346370658487eb390828f8808e2a6b06419230518ede6511fec5
f548d1ab856fdbab743a635189499f72,25db28dc2186de0074ed692a56b3beb8b14dbe9d14184cdfb52fb566f6c96b83,Afterwhile,[ANOTHER],PROGRESSIVE HOUSE,Meisolate,,10,4,6e1f71b279e30c3fe80a519213e269821eb046a3d26b27d06ddd4a407d7d90b0
4840f1da03915559b23025a3380e56af,4144bb25f122413bda528247b03ce1b8dd86aa4335e661d5c9195862de92e4df,Afterwhile,[HYPER],PROGRESSIVE HOUSE,Meisolate,,8,3,f75dfa699edd7e444ed078106304918579d638f671365812315beaabeecf091c
0504fbeb7b2f94c903f81d645d1803ff,4b882b5e4340cecdb2af2f44936e665be31dc22ae44eac6ea411546d53c2cc60,Afterwhile,[NORMAL],PROGRESSIVE HOUSE,Meisolate,,3,2,998b08aa00383a7111cbd2191b5134528651067a9c90f8ad668230f39dc73af4
e316daca1e2482da42cf69f935a37a41,941f84a21e12f9245842a9d76785967c6ccb45b5677691c6b5f538a846b8fea6,Afterwhile,[Twilight],PROGRESSIVE HOUSE,Meisolate,obj:Sar,12,5,1035ea7f597c13386b2e98c00ea644b8095048442a79609cadc47d31598adbf2
ae11930223a8f24e91633f1a7864e1eb,1dfdaa94e9ece965e2ea787a8383399c43fc0dd3ed65f0c28b20be9ddffc8039,Agito,[B],MUSIC,polycube × 鑓田(alpha complex),,1,1,b86a19e01a1c0d0378fa0fab70a850b88f685f78c40576f9c08c84f7d0068226
73c19cc796ce41e6ad02f97dd92af615,3c1d81cc8ab0d9b3f23abf6c11dde75cbf8050cea6000cbf2694e0c58055b566,Agito,[N],MUSIC,polycube × 鑓田(alpha complex),,3,2,0b5c1d51c53772ef54451d4d827d02ce4b02e9de19552d65f846ce327ab21096
02f3c59ddec5f10c1f5e0614d40c26e8,6a78027ba4eaf590c97452d1e0c54c051b351e9f53a200b6fdbff8473d9855ac,Agito,[H],MUSIC,polycube × 鑓田(alpha complex),,7,3,6919ebe7443e3a63c255c3a91b27b14a15bf3973c58733c574c0a72ca3364d22
8b385f9d6fea058473aa37d1dca2dd05,ca170f42b9fa5be8d97e1e8a0500c64b8ef2d4f70041c0c7a848081153e12fb2,Agito,[A],MUSIC,polycube × 鑓田(alpha complex),,10,4,7f22bfca9687f869f8c6f3b30fe2e9f6214d3dfab252e3eea7ae099404455d99
391ddb759b5625b456ef9eb8da4a24c2,8d701f5592da02fab0437cb6113fe2318628282402e0e2dd6caf290d9efae641,Agito [ENT+],,MUSIC,polycube × 鑓田(alpha complex),Obj.Triforce,4,5,ca8b09534b294e736a8924ec4d0b15257df8685e1dc9057c182d01c565b19406
7964104ca49351d29c6382009a83d983,67bb82a7006568328475dc61671f5d391514f80fb5f36c1e1ecff0613e748de9,Airetsiw,[Normal],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ notes:swa,3,2,e4af667eb6511d54f5c5ca93dd585db1bacef6fd29427a20c3e9319bd35c4c18
9e84f048b4517e1b0ad50e739ae04f3f,61573ef8a5e527f139390b47f991b35a095f85f3bbf364bd258c708416dc5c82,Airetsiw,[Hyper],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ notes:swa,7,3,cd454783aaa232cba5bc50e2c56b1e29fe12b1f04e8027558d976d64f4146916
323ad2063196ac85eeb788e57b50a6ca,031aa32ec95842936205cdc0234a4b5fa3d23eebb450c7809608ad3f03e5de14,Airetsiw,[Another],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ notes:swa,10,4,c98d567b35f4144736570d913c26909ba56ca788b04f46c56e9edb5492bb049f
c86923afc764b887b6e8c649146a7d98,e0e7fd97b42178c2fbcb69754cebcd3e0fd1b5d24ba5b9716ca9341931a7be70,Airetsiw,[BlackAnother],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ,11,5,ddd299ca549a6dde6f8931d3e14f70d4337ea984829f77d71ede59f0d94b5440
aebfcff33f9777ce806d490320be8c79,deb17e736f5324000fc3e7c028ff0e83bbb247bc2c72cb5672120e7a92d37cae,Airetsiw,[Dif],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ,12,5,cb1e5b537bd08e554ef12022b31279e7a94a73638b80ded477ac410fb48203d8
59f75a50a029dc0695e4d9beac9873a6,d636dd6de6a9cd927447d4bf2f30620c2718d4fba63c274a6512a5550f7e670d,Airetsiw,[Pain],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ,13,5,9fd7291ff005ad621b94eeb588971beba72741c8a05d61107069a1a798336d9c
e89377fac7e63fc95e9dec1181c32ade,bc860849ff3fa580a4bc7f73ad2501197bb4c6575eae81225fad7d8fdcd2631b,Airetsiw,[Madness],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ,15,5,ac16283dd2ded3ed8769417c3a61437c254e52ad3cb2b78167767d750c509394
c0314ed298a57ce80d6120d299a200d1,e3da3c90c3f04028209758a5a7652fc792185db096874f4613fa7c0c167c2ff7,Airetsiw,[No_more],Digital-J-Pop,Sakamiya feat.mirina,img:なのたろ,16,5,54e8e129751bf84377a52fa9232a4f7b8c4363f3e8ee889349741791255eea0a
ee97fbc5aa80e5cec0312ca7ae4a98fd,5b51e60c7f9aadc9a425f0fa9037628b073cfe0281a659a4144fbed0ffb99b97,AIWS,-ANOTHER-,Instrumental,くるぶっこちゃん,BGA : geniway,11,4,9013228bb81c9ad42b8a3d2b1fb6aaf03a454fec7c48bb2815245c9817ac7e90
e2a8109d9617fbe9bfc384ea7002ed04,eb11a9965f7e4909616dd4a8f6ba6c0c6261a9b279d47f56462e3baee68e67bc,AIWS[chiral],,Instrumental,くるぶっこちゃん/obj:matsu,BGA : geniway,20,4,e9383a730866611c9f6424539275689162072eddba5a6b450c5aaccbfb6928cd
b6fb8b816333bc12d01a8bc634712dba,e8ea7dbbdea2bcbb951aa53de455b161eb3e22422a9436319e11d3e5d17a2bc0,AIWS,-HYPER-,Instrumental,くるぶっこちゃん,BGA : geniway,7,3,6d327e3e509d48d2e575267eb000d568db7b86d07f4fc6b854087ad116cbd4cc
2ecc897c9efda2cb7bcb6bd6f127a632,d2bffcdf28f2837fe09de12572f424ea53fbba125e1ddebbc4ed5b052ee7c4d8,AIWS,-INSANE-,Instrumental,くるぶっこちゃん,BGA : geniway,12,5,8497e3bdb2c09cd27e15c617c2d5243a2548a028b07449c894391d0b418ff646
493743f14913a8f550f7cdf789eddc68,8097bdc90cf4df62d695dac199ce9af09bb36f7b4d88ac99a0ebc6955d10432c,AIWS,-NORMAL-,Instrumental,くるぶっこちゃん,BGA : geniway,4,2,d0cff71c0d22569399d4164a7a63ba251809fad40e697897841c4a7c6e688ca5
32388dd5d425e025cd651096501cf694,f975f688fc8470c0ddf4717a0fe50a23ae8ed8aa6c2ce0a190a845d5510a6edb,AIWS,[Other],Instrumental,くるぶっこちゃん,BGA : geniway / OBJ : Omino,0,5,e7fa56ebc44a4a713052ce955aa122e006963cbd468bbd73ab85da2c2640e2cc
94916bd3f13b647cee521defd5baaedf,ece0f8ed95fd58adb25229ab64bc759a0899ed2f12e542e3d9ccef60574a55c9,AIWS,[ZOI],Instrumental,くるぶっこちゃん,BGA : geniway / obj:SUZUKAZEΛ,8,5,e304f66bb2ba764d8dc4cb169a4fdb82759e2274bc3fa12044c06989946c9371
1bb02482ebfcfe5d88af19aa62d75302,44fc9301320191b88ad3e52ff5fcee96a09dfe01b2bafb7509bc89f342147faa,Akasagarbha [Folklore],,MULTIVERSE,wa. vs ETIA. / BGA:deadblue238 / Note:薄杏,,12,4,50d00e4d08d11be355fe25effcc330e4df3ab4d8a98e99bf5044b7dd1ae785c8
42dc4bf048193d307167b9aaf193bdc9,1a5b7666ff2b7306712b7aced7700e124b8de6bda143493a3523eedb1279c127,Akasagarbha -Ex-,[Ex],MULTIVERSE,wa. vs ETIA./さ,deadblue238,12,4,93bd04ef0a050f6bf63ea16948d9d3d9e58576325d2076ee73017db472d8f2aa
0bfa7f16d645bd2fb14212ac55e47274,8dfcec1631d0937d8af2172b7586a8ee5198a86b347bfc900bbcebfa34cd104f,Akasagarbha -Sabother-,[Sabother],MULTIVERSE,wa. vs ETIA./さ,deadblue238,12,4,ab6f346b6c3fd5ea68f3dd86176f52284199a3546f696851ef5fffb238596841
120f538339bb06f4efac7c28382974b1,f10ba304369dcfedcbcd0ae2bddfe2857ea4b02d5e9d7324e40b62ef9c84693e,Akasagarbha,(Ｔ)貴公・・・,MULTIVERSE,wa. vs ETIA.,/deadblue238/obj:沈黙の長 ユルト,22,4,0aca34bd2376a33ec5de87326af7c5fabd50c1161f7926c3ff7bbb81f85758e1
5c840b3bee11e1bdb71c09a38792dfbb,bd74ae15318926f33a50ef550746287cb77c2a995884b1c14e44595abe4bbef8,Akasagarbha -dp another-,,MULTIVERSE,wa. vs ETIA./obj:epics-,deadblue238,15,4,68f28ad00b26183fda5a52646dacc2acb3fbef370bd352443487bf09b316c932
fe6e304a881bf066b6fc5c5cecde22f5,7d1e1974ce26dfa3a69924c2bcd90d6ef043fd80c741fb30fa70d68ad6ce010b,Akasagarbha -dp hyper-,,MULTIVERSE,wa. vs ETIA./obj:epics-,deadblue238,11,3,086824076829c9495776ca92f14a2ed81e096cd09a2739f148a02e7d922a6c8b
25d626db47bd07a620e6e3d7503bedf8,f45ea0d83f64335d26a17887d3dbc9ea6d85be006832d132e7d6ec8d473d41c3,Akasagarbha -dp normal-,,MULTIVERSE,wa. vs ETIA./obj:epics-,deadblue238,8,2,b54e79ce8abbacfbd3c444b39c945f1f7780b5772c8943e7ab42d8430b82b6f2
